numPermutations,totalRecursions,permRecursions,numWords,timeForPermutation,boardSize
1,34,34,3,7,4
3,71,21,3,0,4
5,2218752,2385,7,5,7
17,7128,112,7,0,7
55,45094,2604,7,6,7
2,1000,839,8,2,7
40,214285,2095,8,5,7
18,198263,32892,8,79,7
26,18026,493,7,1,7
29,9836,7443,7,26,7
57,15718,89,8,0,7
2,5155,4890,8,14,7
45,287357,13729,8,40,7
43,1170441,3090,8,7,7
21,16575,852,7,3,7
50,197744,3823,7,14,7
121,215030,2806,8,8,7
46,23077,529,7,1,7
91,119710,605,8,1,7
3,58,22,3,0,3
1,10,10,3,0,3
2,14,10,3,0,3
2,45,14,3,0,3
1,10,10,3,0,3
1,10,10,3,0,3
2,17,10,3,0,3
3,38,20,3,0,3
1,10,10,3,0,3
1,26,26,3,0,3
1,32,32,3,0,3
2,45,16,3,0,3
3,36,10,3,0,3
2,69,10,3,0,3
1,18,18,3,0,3
1,10,10,3,0,3
1,17,17,3,0,3
1,15,15,3,0,3
1,11,11,3,0,3
1,10,10,3,0,3
2,22,20,3,0,4
2,24,20,3,0,4
1,22,22,3,0,4
2,56,38,3,0,4
1,48,48,3,0,4
1,40,40,3,0,4
3,103,31,3,0,4
1,19,19,3,0,4
2,41,37,3,0,4
3,162,26,3,0,4
2,60,30,3,0,4
5,52,28,3,0,4
2,29,17,3,0,4
2,27,24,3,0,4
1,20,20,3,0,4
1,57,57,3,0,4
5,376,18,3,0,4
3,43,18,3,0,4
3,67,43,3,0,4
1,17,17,3,0,4
2,33,23,3,0,4
4,107,49,3,0,4
2,37,17,3,0,4
1,17,17,3,0,4
1,28,28,3,0,4
1,27,27,3,0,4
3,88,39,3,0,4
1,17,17,3,0,4
6,56,18,3,0,4
1,53,53,3,0,4
1,17,17,3,0,4
2,32,21,3,0,4
2,28,21,3,0,4
3,32,17,3,0,4
1,19,19,3,0,4
1,18,18,3,0,4
1,17,17,3,0,4
1,19,19,3,0,4
3,55,30,3,0,4
1,27,27,3,0,4
3,89,64,3,0,4
1,120,120,3,0,4
4,161,95,3,0,4
1,19,19,3,0,4
1,64,64,3,0,4
1,28,28,3,0,4
2,36,18,3,0,4
4,96,17,3,0,4
2,51,26,3,0,4
1,21,21,3,0,4
6,51,24,3,0,4
1,22,22,3,0,4
1,17,17,3,0,4
1,19,19,3,0,4
5,87,17,3,0,4
1,41,41,3,0,4
1,131,131,3,1,4
1,80,80,3,0,4
2,28,21,3,0,4
1,23,23,3,0,4
1,22,22,3,0,4
1,19,19,3,0,4
1,39,39,3,0,4
1,18,18,3,0,4
2,22,18,3,0,4
4,57,26,3,0,4
1,20,20,3,0,4
1,18,18,3,0,4
5,145,22,3,0,4
1,32,32,3,0,4
1,17,17,3,0,4
4,92,40,3,0,4
4,361,171,3,1,4
5,81,22,3,0,4
1,28,28,3,0,4
3,109,42,3,0,4
1,20,20,3,0,4
1,26,26,3,0,4
1,41,41,3,0,4
6,146,48,3,0,4
1,18,18,3,0,4
2,26,23,3,0,4
2,31,19,3,0,4
1,17,17,3,0,4
1,21,21,3,0,4
1,17,17,3,0,4
2,39,17,3,0,4
2,34,17,3,0,4
1,17,17,3,0,4
1,29,29,3,0,4
1,50,50,3,0,4
1,17,17,3,0,4
2,29,17,3,0,4
1,34,34,3,0,4
1,18,18,3,0,4
1,31,31,3,0,4
3,98,17,3,0,4
3,51,18,3,0,4
5,353,43,5,0,5
13,1120,72,4,0,5
3,1665,49,4,0,5
3,556,146,4,0,5
1,57,57,5,0,5
15,1231,332,4,0,5
8,1280,169,4,0,5
13,2169,601,4,1,5
3,208,204,4,0,5
1,50,50,4,0,5
2,90,86,4,0,5
1,32,32,4,0,5
17,864,95,5,0,5
1,26,26,4,0,5
4,75,41,4,0,5
2,271,76,4,0,5
20,1743,87,4,0,5
3,40,27,4,0,5
1,48,48,4,0,5
1,337,337,4,1,5
2,171,53,4,0,5
1,45,45,4,0,5
1,29,29,4,0,5
1,27,27,4,0,5
1,1101,1101,4,3,5
1,125,125,4,0,5
1,87,87,4,1,5
12,2362,401,4,1,5
12,150,41,4,0,5
2,290,31,4,0,5
9,194,35,4,0,5
1,26,26,4,0,5
6,277,99,4,0,5
11,1103,166,4,0,5
2,1013,51,4,0,5
1,850,850,4,3,5
1,166,166,4,0,5
1,197,197,4,0,5
6,1195,203,4,0,5
3,87,32,4,0,5
1,70,70,4,0,5
3,221,93,4,0,5
2,51,50,4,0,5
5,460,156,4,0,5
18,380,74,4,0,5
2,1277,53,5,0,5
1,366,366,4,1,5
2,171,154,4,0,5
12,247,29,4,0,5
1,48,48,4,0,5
4,101,76,4,0,5
11,1148,120,4,0,5
1,156,156,4,0,5
6,112,62,4,0,5
3,566,560,4,1,5
1,28,28,4,0,5
3,1245,161,4,0,5
1,38,38,4,0,5
18,527,134,4,0,5
6,271,61,4,0,5
5,327,44,4,0,5
10,343,30,4,0,5
1,168,168,4,0,5
10,349,38,4,0,5
12,752,182,4,0,5
1,1419,1419,4,4,5
10,767,194,4,0,5
21,1896,66,4,0,5
3,586,46,4,0,5
1,29,29,4,0,5
9,270,81,4,0,5
6,1354,1107,4,2,5
1,145,145,4,0,5
1,149,149,4,0,5
